Phone (Examples),CPU / GPU,Config to Use
iPhone 16 / 16 Plus,Apple A18 / Apple GPU,iPhones do not support configs
iPhone 15 / 15 Plus,Apple A16 Bionic / Apple GPU,iPhones do not support configs
iPhone 14 / 14 Plus / 14 Pro / 14 Pro Max,Apple A15 / A16 Bionic / Apple GPU,iPhones do not support configs
Any iPhone model,Apple Ax / Apple GPU,iPhones do not support configs
Poco F6 Pro / iQOO Neo 9 Pro,Snapdragon 8 Gen 2 / Adreno 740,Stable Config – B / Experimental
Galaxy S23 / S23+ / S23 Ultra,Snapdragon 8 Gen 2 / Adreno 740,Stable Config – B / Experimental
Galaxy S24 FE,Exynos 2500 / Xclipse 940,Stable Config – B / Experimental
Galaxy S24 (Exynos),Exynos 2400 / Xclipse 940,Stable Config – B / Experimental
Poco F6 / Realme GT 6T,Snapdragon 8s Gen 3 / Adreno 735,Stable Config – B / Experimental
OnePlus Nord 4 / iQOO Z9 Turbo,Snapdragon 7+ Gen 3 / Adreno 732,Stable Config – B / Experimental
Poco X6 Pro / Redmi K70E,Dimensity 8300 / Mali-G615,Stable Config – B / Experimental
Poco X7 Pro / Redmi Note 14 Pro+,Dimensity 8400 / Mali-G720,Stable Config – B / Experimental
Nothing Phone (2a) / Vivo V40,Snapdragon 7 Gen 3 / Adreno 720,Stable Config – B / Experimental
Google Pixel 9 / Pixel 9 Pro,Google Tensor G4 / Immortalis-G715,Stable Config – B / Experimental
Google Pixel 8 / Pixel 8 Pro,Google Tensor G3 / Immortalis-G715,Stable Config – B / Experimental
Realme 12 Pro+ / Oppo Reno 12 Pro,Snapdragon 7s Gen 3 / Adreno 710,Stable Config – B / Experimental
Redmi Note 14 Pro+ 5G / Poco X6 NFC,Snapdragon 7s Gen 3 / Adreno 710,Stable Config – B / Experimental
Huawei MatePad Pro 11 (2024) / MatePad Air (2024),Kirin 9000S / Maleoon 910 MP4,Stable Config – B / Experimental
Galaxy Tab S9 Ultra / Tab S9+,Snapdragon 8 Gen 2 / Adreno 740,Stable Config – B / Experimental
Galaxy Tab S9,Snapdragon 8 Gen 2 / Adreno 740,Stable Config – B / Experimental
Galaxy A35 / Moto Edge 50 Fusion,Exynos 1380 / Mali-G68 MP5,Stable Config – C
Galaxy A55 5G,Exynos 1480 / Xclipse 530,Stable Config – C
Galaxy A56 5G / Tab S10 FE / Tab S10 FE+,Exynos 1580 / Xclipse 540,Stable Config – C
Galaxy A54 / Galaxy A36,Exynos 1380 / Mali-G68 MP5,Stable Config – C
Galaxy A34 / Redmi Note 13 Pro,Dimensity 1080 / Mali-G68 MP4,Stable Config – C
Redmi Note 12 Pro / Poco M5 Pro,Dimensity 1080 / Mali-G68 MP4,Stable Config – C
Poco X5 Pro / Moto Edge 30,Snapdragon 778G / Adreno 642L,Stable Config – C
Nothing Phone (2a) Plus,Dimensity 7350 Pro / Mali-G610 MC4,Stable Config – C
Redmi Note 13 Pro+ / Poco X6,Dimensity 7200 Ultra / Mali-G610 MC4,Stable Config – C
Realme 12+ 5G / Vivo V29e,Dimensity 7050 / Mali-G610 MC2,Stable Config – C
Infinix Zero 30 / Tecno Phantom V Flip,Dimensity 8020 / Mali-G77 MC9,Stable Config – C
Tecno Camon 20 Pro / Infinix Note 30 Pro,Dimensity 8050 / Mali-G77 MC9,Stable Config – C
Motorola Edge 40 / Xiaomi 12 Lite,Dimensity 8020 / Mali-G77 MC9,Stable Config – C
Galaxy A25 5G,Exynos 1280 / Mali-G68 MP4,Stable Config – C
Redmi 12 5G / Poco M6 Pro 5G,Snapdragon 4 Gen 2 / Adreno 613,Stable Config – C
Galaxy Tab S9 FE / Tab S10 Lite,Exynos 1380 / Mali-G68 MP5,Stable Config – C
Galaxy Tab A9+ / Huawei MatePad 11.5 (2024),Snapdragon 695 / Adreno 619,Stable Config – C
Redmi Note 14 4G / Moto G85,Helio G99 / Mali-G57 MC2,Potato Config
Samsung Galaxy A15 4G / Realme C67,Helio G99 / Mali-G57 MC2,Potato Config
Redmi 13C / Poco C65,Helio G85 / Mali-G52 MC2,Potato Config
Galaxy A05 / A05s,Helio G85 / Mali-G52 MC2,Potato Config
Realme C55 / C53 / C65,Helio G88 / Mali-G52 MC2,Potato Config
Redmi Note 13 (4G) / Moto G24,Snapdragon 685 / Adreno 610,Potato Config
Redmi A3 / Poco C61,Helio G36 / PowerVR GE8320,Potato Config
Galaxy A06 / Infinix Smart 8 Plus,Helio G85 / Mali-G52 MC2,Potato Config
Infinix Smart 8 / Tecno Spark 20,Unisoc T606 / Mali-G57 MC1,Potato Config
Tecno Spark Go / Infinix Smart 10,Unisoc T616 / Mali-G57 MC1,Potato Config
Redmi A5 / Itel City 100,Unisoc T615 / Mali-G57 MC1,Potato Config
Galaxy A05s (SD variant),Snapdragon 680 / Adreno 610,Potato Config
