device_name,profile_name,chipset_family,notes
Samsung Galaxy S24+,Android_Xclipse940,Samsung Exynos,Exynos 2400 · Xclipse 940 (Europe) / SD 8 Gen 3 (Global)
Samsung Galaxy S24,Android_Xclipse940,Samsung Exynos,Exynos 2400 · Xclipse 940 (Europe) / SD 8 Gen 3 (Global)
Samsung Galaxy S24 FE,Android_Xclipse940,Samsung Exynos,Exynos 2400e · Xclipse 940
Samsung Galaxy S23 Ultra,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
Samsung Galaxy S23,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
Samsung Galaxy S22 Ultra,Android_Xclipse930,Samsung Exynos,Exynos 2200 · Xclipse 920 (Europe) / SD 8 Gen 1 (Global)
Samsung Galaxy S22+,Android_Xclipse930,Samsung Exynos,Exynos 2200 · Xclipse 920 (Europe) / SD 8 Gen 1 (Global)
Samsung Galaxy S22,Android_Xclipse930,Samsung Exynos,Exynos 2200 · Xclipse 920 (Europe) / SD 8 Gen 1 (Global)
Samsung Galaxy S23 FE,Android_Xclipse930,Samsung Exynos,Exynos 2200 · Xclipse 920
Samsung Galaxy A57 5G,Android_Xclipse5xx,Samsung Exynos,Exynos 1680 · Xclipse 550
Samsung Galaxy A56 5G,Android_Xclipse5xx,Samsung Exynos,Exynos 1580 · Xclipse 540
Samsung Galaxy A55 5G,Android_Xclipse5xx,Samsung Exynos,Exynos 1480 · Xclipse 530
Samsung Galaxy A54,Android_Mali_G68,Samsung Exynos,Exynos 1380 · Mali G68 MC4
OnePlus 15,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
OnePlus 15T,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
OnePlus 13,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
OnePlus 12,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
OnePlus 12R,Android_Adreno_8xx,Qualcomm,SD 8 Gen 1 · Adreno 730
OnePlus 11,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
ASUS ROG Phone 9 Pro,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
ASUS ROG Phone 8 Pro,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
ASUS ROG Phone 7,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
ASUS Zenfone 10,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
Realme GT 7 Pro,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Realme GT6,Android_Adreno_8xx,Qualcomm,SD 8s Gen 3 · Adreno 735
Realme GT5 Pro,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
Realme GT5,Android_Adreno_8xx,Qualcomm,SD 8+ Gen 1 · Adreno 730
Oppo Find X9 Ultra,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
Oppo Find X8 Pro,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Oppo Find X7 Ultra,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
Vivo X300 Ultra,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
Vivo X300 Pro,Android_Mali_Gx_Ultra,MediaTek,Dimensity 9500 · Mali G1 Ultra MC12
Vivo X200 Pro,Android_Mali_G92x,MediaTek,Dimensity 9400 · Immortalis G925
Vivo X100 Pro,Android_Mali_Immortalis,MediaTek,Dimensity 9300 · Immortalis G720
Vivo X90 Pro,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
iQOO 15 Ultra,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
iQOO 13,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
iQOO Z10 5G,Android_Adreno810,Qualcomm,SD 7s Gen 3 · Adreno 810
Nothing Phone (3a),Android_Adreno810,Qualcomm,SD 7s Gen 3 · Adreno 810
Nothing Phone (3a) Pro,Android_Adreno810,Qualcomm,SD 7s Gen 3 · Adreno 810
Nothing Phone (2),Android_Adreno_8xx,Qualcomm,SD 8+ Gen 1 · Adreno 730
Nothing Phone (2a),Android_Mali_G61x,MediaTek,Dimensity 7350 Pro · Mali G610
Honor Magic 7 Pro,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Google Pixel 9 Pro,Android_Tensor_G4,Google Tensor,Tensor G4 · Custom GPU
Google Pixel 8 Pro,Android_Tensor_G3,Google Tensor,Tensor G3 · Custom GPU
Google Pixel 8,Android_Tensor_G3,Google Tensor,Tensor G3 · Custom GPU
iPhone 16 Pro Max,iOS_Apple,Apple,A18 Pro (iOS not supported by WuWa Android configs)
Tecno Camon 30 Pro 5G,Android_Mali_G61x,MediaTek,Dimensity 8200 · Mali G610
Poco X8 Pro Max,Android_Mali_G92x,MediaTek,Dimensity 9400 · Immortalis G925
